,name,number_reviews,rating,address,city,lat,long,geometry
71,Rosa Negra Barcelona,1584,4.0,Via Laietana 46  Barcelona,Barcelona,41.3865347,2.1755771,POINT (2.1755771 41.3865347)
72,La Pastisseria Barcelona,810,4.5,Carrer aragò 228  Barcelona,Barcelona,41.5239718,2.2380047,POINT (2.2380047 41.5239718)
73,Pizzeria Da Nanni Barcelona,1951,5.0,Carrer  Llibreteria 10  Barcelona,Barcelona,41.3831626,2.1773855,POINT (2.1773855 41.3831626)
74,Bodega Biarritz,4564,5.0,Nou de San Francesc 7  Barcelona,Barcelona,,,POINT EMPTY
75,Bodega Vasconia,1494,4.5,Gignas 13  Barcelona,Barcelona,41.3810082,2.1798816,POINT (2.1798816 41.3810082)
76,Maitea Taberna,1305,4.5,Carrer  Casanova 155 Barcelona,Barcelona,41.3910406,2.1510887,POINT (2.1510887 41.3910406)
77,N.A.P. Neapolitan Authentic Pizza,1488,4.0,Avinguda Francesc Cambó 30 y Carrer Baluard Barcelona,Barcelona,,,POINT EMPTY
78,Taktika Berri,794,4.0,Carrer Valencia 169 Barcelona,Barcelona,41.6051452,2.3006586,POINT (2.3006586 41.6051452)
79,Cecconi's Barcelona,618,4.5,Passeig de Colom  Barcelona,Barcelona,41.3790228,2.1801967,POINT (2.1801967 41.3790228)
80,Colom,7605,4.5,Escudellers 33 Barcelona,Barcelona,41.379825,2.1764897,POINT (2.1764897 41.379825)
81,Bar del Pla,1654,4.0,Carrer Montcada num  2 Barcelona,Barcelona,,,POINT EMPTY
82,Restaurante Arume,5200,4.5,Carrer  Botella 11 13 Barcelona,Barcelona,41.3794227,2.1659166,POINT (2.1659166 41.3794227)
83,Botafumeiro,4471,4.0,Carrer Gran de Gràcia 81 Barcelona,Barcelona,41.4004038,2.1546391,POINT (2.1546391 41.4004038)
84,La Cova Fumada,1395,4.5,Carrer  Baluard 56 Barcelona,Barcelona,41.3792983,2.1891943,POINT (2.1891943 41.3792983)
85,Koy Shunka,1444,4.5,Carrer de Copons 7 Barcelona,Barcelona,41.5886494,1.6080706,POINT (1.6080706 41.5886494)
86,Teòric Taverna Gastronòmica,994,5.0,Carrer de Bailen 117 Barcelona,Barcelona,41.3977846,2.1692651,POINT (2.1692651 41.3977846)
87,Yakumanka,426,4.5,Carrer  Valencia 207  Barcelona,Barcelona,41.6051452,2.3006586,POINT (2.3006586 41.6051452)
88,Sports Bar Italian Food - C. Ample,1022,4.5,Carrer Ample 51 Barcelona,Barcelona,41.3812687,2.1804979,POINT (2.1804979 41.3812687)
89,Torre d'Alta Mar,1433,4.0,Passeig Joan de Borbo 88  Barcelona,Barcelona,41.3731453,2.1879727,POINT (2.1879727 41.3731453)
90,Swagatam Bar-Restaurant Hindu,1007,4.5,Carrer de Sant Agusti 10 Barcelona,Barcelona,41.3982888,2.1607353,POINT (2.1607353 41.3982888)
91,Parco,737,4.0,Jardines de Gracia   Al Final de la Passeig de Gracia  Barcelona,Barcelona,,,POINT EMPTY
92,Arcano,3588,4.5,Carrer dels Mercaders 10 Barcelona,Barcelona,41.2267429,1.7262841,POINT (1.7262841 41.2267429)
93,Mirablau,1180,4.0,Plaza Doctor Andreu S N  Barcelona,Barcelona,,,POINT EMPTY
94,La Fonda,6518,4.0,Carrer dels Escudellers 10 Barcelona,Barcelona,41.3793598,2.1762144,POINT (2.1762144 41.3793598)
95,Eixampeling Brunch Café & Bar,1073,5.0,Diputacion 158  Barcelona,Barcelona,38.3551857,-0.4771781,POINT (-0.4771781 38.3551857)
96,La Bella Napoli di Raffaele,1155,4.0,Carrer de Margarit 12 14 Barcelona,Barcelona,41.3722309,2.163058,POINT (2.163058 41.3722309)
97,Gilda by Belgious,1409,4.5,Carrer  Ample 34 Barcelona,Barcelona,41.573106,2.0189932,POINT (2.0189932 41.573106)
98,Oporto Restaurante,849,4.5,Carrer Sardenya 296 Barcelona,Barcelona,41.5298238,2.0708297,POINT (2.0708297 41.5298238)
99,König Barcelona Centro,957,4.0,Rambla de Catalunya 5 Barcelona,Barcelona,41.38775758888889,2.1676605555555555,POINT (2.1676605555555555 41.38775758888889)
100,bicos,483,4.5,Avenida Diagonal 287  Barcelona,Barcelona,41.39039064210526,2.1368673,POINT (2.1368673 41.39039064210526)
101,Ristorante Margherita,2441,4.5,Carrer del Rosselló 253 Barcelona,Barcelona,41.3952571,2.159525,POINT (2.159525 41.3952571)
102,Can Xurrades Gastronomic,550,4.5,Casanova 212 Barcelona,Barcelona,41.3921437,2.150446741976293,POINT (2.150446741976293 41.3921437)
103,Ikibana Sarriá,999,4.0,Carrer  Doctor Fleming 11 Barcelona,Barcelona,41.4125177,1.972078826436372,POINT (1.972078826436372 41.4125177)
104,El Quim de la Boqueria,1593,4.5,Rambles 91  Barcelona,Barcelona,41.3819517,2.1721675,POINT (2.1721675 41.3819517)
105,Restaurant Montiel,2531,4.5,Carrer  Flassaders 19  Barcelona,Barcelona,41.3856261,2.1818153,POINT (2.1818153 41.3856261)
106,Restaurante Lasarte,1092,4.5,Carrer  Mallorca 259 Barcelona,Barcelona,41.4936096,2.1863173,POINT (2.1863173 41.4936096)
107,Giorgio Barcelona,745,4.5,Carrer  Ausias Marc 3 Barcelona,Barcelona,41.9187655,2.2578549,POINT (2.2578549 41.9187655)
108,Copasetic Barcelona,889,4.5,Diputacio 55 Barcelona,Barcelona,41.380320850000004,2.153240139200538,POINT (2.153240139200538 41.380320850000004)
109,Boca Grande,2231,4.0,Passatge de la Concepcio 12  Barcelona,Barcelona,41.3945688,2.15986304344141,POINT (2.15986304344141 41.3945688)
110,Telefèric,1397,4.5,Plaza Doctor Letamendi 27 Barcelona,Barcelona,,,POINT EMPTY
111,Makamaka,2124,4.5,Passeig de Joan de Borbo 76 Barcelona,Barcelona,41.3689054,2.1879058,POINT (2.1879058 41.3689054)
112,Can Dendê,964,4.5,Carrer Ciutat de Granada 44 Barcelona,Barcelona,41.4040457,2.1907711,POINT (2.1907711 41.4040457)
113,Bo Kaap,799,4.5,Paseo Maritimo s n Playa de Sant Miquel Barcelona,Barcelona,,,POINT EMPTY
114,Mako,298,4.5,Consell de Cent 255  Barcelona,Barcelona,41.3754015,2.143262,POINT (2.143262 41.3754015)
115,Asador de Aranda Tibidabo,1718,4.0,Av  del Tibidabo 31  Barcelona,Barcelona,41.41329675,2.134334758650975,POINT (2.134334758650975 41.41329675)
116,Terrazza Ravello,826,4.5,Plaza Pau Vila 1 Barcelona,Barcelona,,,POINT EMPTY
117,Tandoori Nights,947,4.5,Carrer Carretes 44  Barcelona,Barcelona,41.3774375,2.1674209,POINT (2.1674209 41.3774375)
118,The Benedict,1506,4.5,Carrer D en Gignas 23  Barcelona,Barcelona,41.3814227,2.1801648,POINT (2.1801648 41.3814227)
119,El Dorado Chicken,652,4.5,Carrer De Balmes 122 Barcelona,Barcelona,41.392842,2.158265,POINT (2.158265 41.392842)
120,Recasens,1148,4.0,Rambla del Poblenou 102  Barcelona,Barcelona,41.4023937,2.1997596,POINT (2.1997596 41.4023937)
121,Taller de Tapas - Rambla Catalunya,4023,4.0,Rambla Catalunya 49  Barcelona,Barcelona,42.0182508,2.2428768,POINT (2.2428768 42.0182508)
122,Chen Ji,675,4.0,Ali Bei 65  Barcelona,Barcelona,41.3936143,2.1807074,POINT (2.1807074 41.3936143)
123,La Alcoba Azul,1330,4.5,Carrer de Salomó ben Adret  Barcelona,Barcelona,41.3826033,2.1758837,POINT (2.1758837 41.3826033)
124,Foc i Oli,993,4.5,Carrer Aribau 91 Barcelona,Barcelona,41.3898043,2.1571237,POINT (2.1571237 41.3898043)
125,Mayura,1171,4.0,Carrer Girona 57 Barcelona,Barcelona,41.6538749,2.4443005,POINT (2.4443005 41.6538749)
126,O' Retorno Restaurant,909,4.0,Comte D urgell 168 Barcelona,Barcelona,41.3883161,2.1502389,POINT (2.1502389 41.3883161)
127,Pulpería Can Lampazas,869,4.0,Avinguda del Paral lel 159 Barcelona,Barcelona,41.37469055492958,2.1566902253521127,POINT (2.1566902253521127 41.37469055492958)
128,Mont Bar,1057,4.5,Diputacio 220  Barcelona,Barcelona,41.38605325,2.161817350076298,POINT (2.161817350076298 41.38605325)
129,Sushifresh,483,4.5,Via augusta 65 local 1  Barcelona,Barcelona,,,POINT EMPTY
130,murivecchi,987,4.0,Carrer  princesa 59  Barcelona,Barcelona,42.0577009,2.2615986,POINT (2.2615986 42.0577009)
131,Irati Taverna Basca,1941,4.5,Carrer del Cardenal Casañas 17 Barcelona,Barcelona,41.3820403,2.1734219,POINT (2.1734219 41.3820403)
132,Tapa Tapa,3783,3.0,Passeig de Gracia  Barcelona,Barcelona,41.3899486,2.1679219,POINT (2.1679219 41.3899486)
133,"La Tagliatella C/ Josep Tarradellas, Barcelona",1253,3.5,Josep Tarradellas 116  Barcelona,Barcelona,41.3899925,2.1440298753287514,POINT (2.1440298753287514 41.3899925)
134,Velodromo,1055,4.0,Muntaner 213  Barcelona,Barcelona,41.3934421,2.150138581884967,POINT (2.150138581884967 41.3934421)
135,Bun Bo Vietnam,1587,4.0,Carrer  Sagristans 3 Barcelona,Barcelona,41.3850619,2.1750203,POINT (2.1750203 41.3850619)
136,Chilango's Taqueria Barcelona,502,4.5,Carrer Nou de la Rambla 95  Barcelona,Barcelona,41.3759077,2.1710366,POINT (2.1710366 41.3759077)
137,La Esquinica,1061,4.0,Fabra I Puig 296 Barcelona,Barcelona,41.4297432,2.1836917,POINT (2.1836917 41.4297432)
138,Angle Barcelona,650,4.5,Carrer  Arago 214 Barcelona,Barcelona,41.5239718,2.2380047,POINT (2.2380047 41.5239718)
139,Restaurante Los Caracoles,4868,3.5,Carrer d Escudellers 14 Barcelona,Barcelona,,,POINT EMPTY
140,1881 per Sagardi,1041,4.0,Plaça de Pau Vila 3 Barcelona,Barcelona,41.3812783,2.1859628,POINT (2.1859628 41.3812783)
141,Merendero de la Mari,1325,3.5,Placa Pau Vila 1 Port Vell  Barcelona,Barcelona,,,POINT EMPTY
142,Dos Palillos,1284,4.0,Elisabets 9 Barcelona,Barcelona,41.3833622,2.1686617,POINT (2.1686617 41.3833622)
143,Brunch & Cake,3008,4.0,Enric Granados 19 Barcelona,Barcelona,41.3882739,2.1615543,POINT (2.1615543 41.3882739)
144,Restaurante Barceloneta,3390,4.0,Carrer  de l Escar 22 Barcelona,Barcelona,41.3758,2.1874945,POINT (2.1874945 41.3758)
145,Agust Gastrobar,1923,4.5,Carrer Parlament 54  Barcelona,Barcelona,41.3772931,2.1638895,POINT (2.1638895 41.3772931)
146,Restaurante Rokelin Gourmet,837,4.5,Comte d Urgell 7 Barcelona,Barcelona,41.3796635,2.1613976141325866,POINT (2.1613976141325866 41.3796635)
147,Citizen Café,1352,4.5,Plaza Urquinaona 4  Barcelona,Barcelona,41.3892056,2.1725408,POINT (2.1725408 41.3892056)
148,Louro,964,4.5,Rambla del Caputxins 37  Barcelona,Barcelona,41.9273381,2.2549312,POINT (2.2549312 41.9273381)
149,Citrus Restaurant & Sushi bar,1681,3.5,Passeig de Gracia 44 Barcelona,Barcelona,41.391716,2.1659599,POINT (2.1659599 41.391716)
150,Taco Alto Born,820,4.5,Portal Nou 62 Barcelona,Barcelona,41.3896941,2.1810119,POINT (2.1810119 41.3896941)
151,Pampero,971,4.5,Plaza Doctor Letamendi 25 Barcelona,Barcelona,,,POINT EMPTY
152,El Clot Restaurante Barcelona,1041,4.5,Carrer  Aragon 600  Barcelona,Barcelona,,,POINT EMPTY
153,Bar Bacaro,553,4.5,Carrer  Jerusalem 6 Loc 1  Barcelona,Barcelona,,,POINT EMPTY
154,Maná 75,572,4.5,Passeig Joan de Borbó 101  Barcelona,Barcelona,41.3687343,2.1884028,POINT (2.1884028 41.3687343)
155,Ugot Bruncherie,641,4.5,Carrer de Viladomat 138  Barcelona,Barcelona,41.3811408,2.1554057,POINT (2.1554057 41.3811408)
156,La Gastronómica,358,5.0,Carrer de Calabria 118 Barcelona,Barcelona,41.3783918,2.1566175,POINT (2.1566175 41.3783918)
157,Arabia Café-Restaurant,1562,4.5,Escudellers 25  Barcelona,Barcelona,41.3474551,1.6970233,POINT (1.6970233 41.3474551)
158,El Vaso de Oro,1397,4.5,Balboa 6 Barcelona,Barcelona,33.6154476,-117.9228363,POINT (-117.9228363 33.6154476)
159,Pura Vida Cocktails,767,4.5,Carrer dels Mercaders 20  Barcelona,Barcelona,41.5651516,2.1808339,POINT (2.1808339 41.5651516)
160,National burger Barcelona,1070,4.5,Carrer Nou de la Rambla 22  Barcelona,Barcelona,41.378448,2.1735229,POINT (2.1735229 41.378448)
161,Billy Brunch,991,5.0,Carrer de Bailèn 115  Barcelona,Barcelona,41.3977251,2.1693445,POINT (2.1693445 41.3977251)
162,Restaurant Gut,1030,4.5,Carrer Perill 13 Barcelona,Barcelona,41.3998038,2.1620293,POINT (2.1620293 41.3998038)
163,Can Travi Nou,705,4.0,12 Carrer de Jorge Manrique  Barcelona,Barcelona,41.4314902,2.1535153,POINT (2.1535153 41.4314902)
164,La Rita,1643,4.0,Aragón 279  Barcelona,Barcelona,38.85591,-1.6450904,POINT (-1.6450904 38.85591)
165,Out of China,794,4.0,Carrer  Aribau 112  Barcelona,Barcelona,41.3905618,2.1566877,POINT (2.1566877 41.3905618)
166,Pez Vela Chiringuito,1763,4.0,Paseo del Mare Nostrum 19 21  Barcelona,Barcelona,,,POINT EMPTY
167,Nomo Gracia,944,4.0,Carrer Gran de Gràcia 13 Barcelona,Barcelona,41.4020235,2.1530924,POINT (2.1530924 41.4020235)
168,Sasha Bar 1968,656,4.5,Carrer  Margarit 18  Barcelona,Barcelona,41.3738083,2.1635878,POINT (2.1635878 41.3738083)
169,Pura Brasa Arenas,2755,4.0,Gran Via de les Corts Catalanes 373 385  Barcelona,Barcelona,41.376315649999995,2.1493205999999994,POINT (2.1493205999999994 41.376315649999995)
170,Kappo Barcelona,260,4.5,Passatge Lluis Pellicer 24  Barcelona,Barcelona,41.39332195,2.149982134853918,POINT (2.149982134853918 41.39332195)
171,Le Cucine Mandarosso,752,4.0,Verdaguer i Callís 4 Barcelona,Barcelona,41.3869654,2.1761111,POINT (2.1761111 41.3869654)
172,Cuines Santa Caterina,2512,4.0,Francesc Cambó 16  Barcelona,Barcelona,41.38613625,2.178504804920665,POINT (2.178504804920665 41.38613625)
173,Restaurante Salamanca,4959,3.5,Almirall Cervera 34 Barcelona,Barcelona,41.5676918,1.6400141,POINT (1.6400141 41.5676918)
174,Don Kilo Gourmet,389,5.0,Carrer Corsega 398  Barcelona,Barcelona,41.3998866,2.1641321,POINT (2.1641321 41.3998866)
175,espai Kru,966,4.5,Carrer  Lérida 7 Barcelona,Barcelona,41.5407396,2.2122634,POINT (2.2122634 41.5407396)
176,Milk Bar & Bistro,2682,4.5,Carrer  Gignas 21  Barcelona,Barcelona,41.3813306,2.1801063,POINT (2.1801063 41.3813306)
177,Conesa Entrepans,912,4.5,Carrer de La Llibreteria 1 Barcelona,Barcelona,41.383052,2.1771014,POINT (2.1771014 41.383052)
178,BierCaB,745,4.5,Carrer De Muntaner 55  Barcelona,Barcelona,41.3862283,2.1597509,POINT (2.1597509 41.3862283)
179,Buenos Aires Grill Restaurant Eixample,3391,4.5,Carrer de València 189 Barcelona,Barcelona,41.3894789,2.1585419228448255,POINT (2.1585419228448255 41.3894789)
180,Surf House Barcelona,1172,4.0,Carrer Almirall Aixada 22  Barcelona,Barcelona,41.3774686,2.1908362,POINT (2.1908362 41.3774686)
181,B Burger,806,4.5,Carrer D  Arago 36  Barcelona,Barcelona,41.38086385,2.150165662302848,POINT (2.150165662302848 41.38086385)
182,Micu Maku,1720,4.5,Carrer d Aribau 22  Barcelona,Barcelona,41.38685815,2.1617614598371544,POINT (2.1617614598371544 41.38685815)
183,Disfrutar,1929,4.5,Carrer  Villarroel 163 Barcelona,Barcelona,41.387762,2.1531722,POINT (2.1531722 41.387762)
184,Elsa y Fred,2775,4.5,Carrer del Rec Comtal 11 Barcelona,Barcelona,41.3897848,2.1798021,POINT (2.1798021 41.3897848)
185,Tucco Real Food,1437,4.5,Carrer Consolat de Mar 23  Barcelona,Barcelona,41.3823222,2.181995,POINT (2.181995 41.3823222)
186,Vegetalia Born,1192,4.5,Pl  Del Fossar de Les Moreres  Barcelona,Barcelona,41.38366225,2.1824056775285774,POINT (2.1824056775285774 41.38366225)
187,Bilbao Berria,2552,4.0,Placa Nova 3 Barcelona,Barcelona,41.3841976,2.1748665,POINT (2.1748665 41.3841976)
188,Paradiso,674,4.5,Carrer  Rera Palau 4  Barcelona,Barcelona,,,POINT EMPTY
189,Tempura-Ya,374,4.5,Carrer MUNTANER 153 Barcelona,Barcelona,41.3909575,2.1534749,POINT (2.1534749 41.3909575)
190,Lolita Taperia,805,4.5,Tamarit 104 Barcelona,Barcelona,41.3760685,2.1577874,POINT (2.1577874 41.3760685)
191,Bacoa Burger Ferran,1051,4.5,Carrer de Ferran 10 Barcelona,Barcelona,41.380636,2.1746909,POINT (2.1746909 41.380636)
192,Restaurant Pelai,589,4.5,Carrer Tallers 62 Barcelona,Barcelona,41.5536948,2.251688,POINT (2.251688 41.5536948)
193,Vrutal,595,5.0,Rambla del Poblenou No 16  Barcelona,Barcelona,41.4002122,2.2023412,POINT (2.2023412 41.4002122)
194,Minamo,374,4.5,Bruc 65  Barcelona,Barcelona,41.3938308,2.1699714,POINT (2.1699714 41.3938308)
195,Avinyo 10,2028,4.5,Carrer Avinyo 10  Barcelona,Barcelona,41.8254821,1.8956757,POINT (1.8956757 41.8254821)
196,Luigi Ristorante,1405,4.5,Roger de Lluria 50 Barcelona,Barcelona,41.3892157,2.1835839,POINT (2.1835839 41.3892157)
197,Osmosis,1513,4.5,Aribau 100  Barcelona,Barcelona,41.3903366,2.1571934,POINT (2.1571934 41.3903366)
